year,province,จำนวนวันที่ฝนตก,ปริมาณน้ำฝน,%ความชื้นสัมพัทธ์,อุณหภูมิสูงสุด,อุณหภูมิต่ำสุด,อุณหภูมิเฉลี่ย,ผู้เสียชีวิต,%การเสียชีวิต,ผู้ป่วย,latitude,longitude
2016,Nakhon Si Thammarat,0,2448.9,83.1,38.1,20.5,27.8,0,0,4566,8.29,100
2017,Nakhon Si Thammarat,187,4478.3,84.5,36.5,20.4,27.4,1,0.03,3503,8.29,100
2018,Nakhon Si Thammarat,160,2218.8,83.3,37,20,27.4,1,0.02,4927,8.29,100
2019,Nakhon Si Thammarat,150,2130.8,81.4,38.4,20.4,27.8,10,0.12,8279,8.29,100
2020,Nakhon Si Thammarat,192,3142.1,0,0,20.5,0,4,0.12,3419,8.29,100
2016,Nan,126,1412.7,76.9,43.3,8.3,26.8,0,0,424,15.42,100.09
2017,Nan,134,1205.3,77.4,40.3,7.1,26.8,0,0,290,15.42,100.09
2018,Nan,110,1064.8,77.7,39.2,13,26.6,0,0,382,15.42,100.09
2019,Nan,96,1275,72.5,42.5,7.6,27.3,1,0.32,308,15.42,100.09
2020,Nan,101,1213.2,0,0,10,0,0,0,278,15.42,100.09
2016,Narathiwat,148,2726.2,79.4,36.6,20,28.1,0,0,3512,6.3,101.48
2017,Narathiwat,173,4802.4,82.2,35.5,19.5,27.3,3,0.05,5770,6.3,101.48
2018,Narathiwat,141,2784.4,81.4,36.8,17.7,27.3,0,0,1287,6.3,101.48
2019,Narathiwat,148,2089.2,77.5,37,-,27.7,0,0,4175,6.3,101.48
2020,Narathiwat,163,3019.4,0,0, -,0,2,0.08,2513,6.3,101.48
2016,Nong Bua Lam Phu,0,0,0,0,0,0,0,0,442,17.174,102.4495
2017,Nong Bua Lam Phu,132,0,76,0,0,0,0,0,231,17.174,102.4495
2018,Nong Bua Lam Phu,123,0,75.6,0,0,0,0,0,341,17.174,102.4495
2019,Nong Bua Lam Phu,98,0,70.2,0,0,0,1,0.12,805,17.174,102.4495
2020,Nong Bua Lam Phu,107,0,0,0,0,0,0,0,743,17.174,102.4495
2016,Nong Khai,124,1955,72.1,42.8,9.1,27.5,0,0,354,17.5,102.46
2017,Nong Khai,131,2087.3,73.5,40,10,27.1,0,0,359,17.5,102.46
2018,Nong Khai,117,1667.4,72.4,41.2,10,27.1,0,0,382,17.5,102.46
2019,Nong Khai,92,1544.6,70.6,41.5,10.5,28.3,1,0.12,814,17.5,102.46
2020,Nong Khai,116,1954.6,0,0,14.2,0,1,0.14,733,17.5,102.46
2016,Nonthaburi,0,0,0,0,0,0,0,0,1202,13.51,100.34
2017,Nonthaburi,0,0,0,0,0,0,2,0.27,736,13.51,100.34
2018,Nonthaburi,0,0,0,0,0,0,5,0.28,1810,13.51,100.34
2019,Nonthaburi,0,0,0,0,0,0,5,0.41,1228,13.51,100.34
2020,Nonthaburi,0,0,0,0,0,0,3,0.4,746,13.51,100.34
2016,Pathum Thani,0,1027.5,73,41,13.5,29.5,0,0,806,14.02,100.52
2017,Pathum Thani,133,1575.8,74.2,39.5,15,29,1,0.25,393,14.02,100.52
2018,Pathum Thani,126,1475.4,75.5,39.5,18,28.9,3,0.18,1631,14.02,100.52
2019,Pathum Thani,94,837,76,41.2,15.9,29.7,4,0.34,1184,14.02,100.52
2020,Pathum Thani,119,1500.3,0,0,18.4,0,3,0.37,802,14.02,100.52
2016,Pattani,132,1781.4,80,38.7,20.5,28.1,0,0,4640,6.48,101.15
2017,Pattani,177,3093.8,82.3,36.2,21.2,27.5,6,0.11,5340,6.48,101.15
2018,Pattani,131,1993.4,81.9,36.2,18.8,27.5,1,0.12,807,6.48,101.15
2019,Pattani,146,1464,83.7,38.9,19.4,27.8,1,0.04,2552,6.48,101.15
2020,Pattani,159,2357.8,0,0,20.8,0,0,0,1559,6.48,101.15
2016,Phang-nga,0,0,0,0,0,0,0,0,726,8.28,98.3
2017,Phang-nga,209,0,0,0,0,0,1,0.3,338,8.28,98.3
2018,Phang-nga,-,0,0,0,0,0,0,0,1804,8.28,98.3
2019,Phang-nga,-,0,0,0,0,0,0,0,929,8.28,98.3
2020,Phang-nga,-,0,0,0,0,0,0,0,421,8.28,98.3
2016,Phatthalung,144,2114.2,81.1,39.4,22,28.3,0,0,2942,7.39,100.06
2017,Phatthalung,186,3596.1,84,35.8,21,27.6,0,0,1821,7.39,100.06
2018,Phatthalung,155,1840.6,83.2,36.5,20.9,27.5,0,0,965,7.39,100.06
2019,Phatthalung,145,1702.9,81.7,39,21.5,27.8,0,0,1928,7.39,100.06
2020,Phatthalung,174,2286.2,0,0,21.5,0,0,0,1169,7.39,100.06
2016,Phayao,116,1071.4,75.7,41.5,7.8,26.1,0,0,404,19.11,99.55
2017,Phayao,132,1286,79.8,39,6.8,25.7,0,0,62,19.11,99.55
2018,Phayao,127,1448.7,81.3,37,12.2,25.4,0,0,122,19.11,99.55
2019,Phayao,86,740.2,75.3,40,6.2,26.2,2,0.87,229,19.11,99.55
2020,Phayao,86,811.9,0,0,7.2,0,0,0,184,19.11,99.55
2016,Phetchabun,119,1039.2,71.5,43.3,9.5,28.2,0,0,1792,16.25,101.08
2017,Phetchabun,123,1373.7,73.7,41.2,11.6,27.9,2,0.24,824,16.25,101.08
2018,Phetchabun,119,998.2,74.2,40.6,14.8,27.6,0,0,1495,16.25,101.08
2019,Phetchabun,100,880.8,69.1,42.6,12.1,28.6,2,0.07,2906,16.25,101.08
2020,Phetchabun,97,939.4,0,0,14.5,0,1,0.05,1957,16.25,101.08
2016,Phetchaburi,101,1133,76.7,38.7,15.9,28.9,0,0,988,13.01,99.55
2017,Phetchaburi,119,1499.6,76.7,38.5,15.6,28.5,0,0,951,13.01,99.55
2018,Phetchaburi,111,1033.9,78.9,37.4,18.5,28.5,0,0,916,13.01,99.55
2019,Phetchaburi,90,585.6,76,38.4,17.5,29,3,0.34,875,13.01,99.55
2020,Phetchaburi,84,914.5,0,0,18.3,0,1,0.23,441,13.01,99.55
2016,Phichit,0,1170,73.3,42.3,10.7,28.7,0,0,660,16.26,100.22
2017,Phichit,0,1542.7,76.8,39.2,12.8,28.2,0,0,439,16.26,100.22
2018,Phichit,0,1054.4,77,38.5,17,28.1,0,0,1155,16.26,100.22
2019,Phichit,0,837.6,74.4,41.5,11.5,28.7,1,0.22,449,16.26,100.22
2020,Phichit,0,692.7,0,0,16.4,0,0,0,399,16.26,100.22
2016,Phitsanulok,0,1380.9,71.4,42.7,10,28.5,0,0,1146,14.2,104
