,year,Province,AgeGroup,ag_0-4,ag_5-9,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_60,patient_count,humidity,temp_avg,temp_min,temp_max,rain_ml,rain_day,cluster
140,2016,Phitsanulok,25-34,0,0,0,0,1,0,0,174,71.4,28.5,10.0,42.7,1380.9,130,3
141,2016,Phitsanulok,14-Oct,0,0,1,0,0,0,0,204,71.4,28.5,10.0,42.7,1380.9,130,3
142,2016,Phitsanulok,35-59,0,0,0,0,0,1,0,224,71.4,28.5,10.0,42.7,1380.9,130,3
143,2016,Mae Hong Son,14-Oct,0,0,1,0,0,0,0,298,74.6,26.7,10.0,44.6,1119.8,131,1
144,2016,Phitsanulok,15-24,0,0,0,1,0,0,0,306,71.4,28.5,10.0,42.7,1380.9,130,3
145,2016,Chiang Mai,9-May,0,1,0,0,0,0,0,374,70.3,27.3,10.0,42.5,1179.3,135,1
146,2016,Mae Hong Son,25-34,0,0,0,0,1,0,0,442,74.6,26.7,10.0,44.6,1119.8,131,1
147,2016,Mae Hong Son,15-24,0,0,0,1,0,0,0,488,74.6,26.7,10.0,44.6,1119.8,131,1
148,2016,Chiang Mai,14-Oct,0,0,1,0,0,0,0,660,70.3,27.3,10.0,42.5,1179.3,135,1
149,2016,Mae Hong Son,35-59,0,0,0,0,0,1,0,700,74.6,26.7,10.0,44.6,1119.8,131,1
150,2016,Chiang Mai,60,0,0,0,0,0,0,1,728,70.3,27.3,10.0,42.5,1179.3,135,1
151,2016,Chiang Mai,15-24,0,0,0,1,0,0,0,2114,70.3,27.3,10.0,42.5,1179.3,135,1
152,2016,Chiang Mai,25-34,0,0,0,0,1,0,0,2276,70.3,27.3,10.0,42.5,1179.3,135,1
153,2016,Chiang Mai,35-59,0,0,0,0,0,1,0,3194,70.3,27.3,10.0,42.5,1179.3,135,1
154,2016,Uttaradit,0-4,1,0,0,0,0,0,0,8,68.1,28.5,10.4,43.6,1355.8,112,3
155,2016,Uttaradit,60,0,0,0,0,0,0,1,20,68.1,28.5,10.4,43.6,1355.8,112,3
156,2016,Uttaradit,9-May,0,1,0,0,0,0,0,30,68.1,28.5,10.4,43.6,1355.8,112,3
157,2016,Nakhon Sawan,60,0,0,0,0,0,0,1,44,71.4,29.1,10.4,43.7,1538.8,130,3
158,2016,Uttaradit,14-Oct,0,0,1,0,0,0,0,70,68.1,28.5,10.4,43.6,1355.8,112,3
159,2016,Uttaradit,35-59,0,0,0,0,0,1,0,72,68.1,28.5,10.4,43.6,1355.8,112,3
160,2016,Uttaradit,25-34,0,0,0,0,1,0,0,84,68.1,28.5,10.4,43.6,1355.8,112,3
161,2016,Nakhon Sawan,0-4,1,0,0,0,0,0,0,94,71.4,29.1,10.4,43.7,1538.8,130,3
162,2016,Nakhon Sawan,25-34,0,0,0,0,1,0,0,172,71.4,29.1,10.4,43.7,1538.8,130,3
163,2016,Nakhon Sawan,35-59,0,0,0,0,0,1,0,180,71.4,29.1,10.4,43.7,1538.8,130,3
164,2016,Uttaradit,15-24,0,0,0,1,0,0,0,182,68.1,28.5,10.4,43.6,1355.8,112,3
165,2016,Nakhon Sawan,9-May,0,1,0,0,0,0,0,188,71.4,29.1,10.4,43.7,1538.8,130,3
166,2016,Nakhon Sawan,14-Oct,0,0,1,0,0,0,0,192,71.4,29.1,10.4,43.7,1538.8,130,3
167,2016,Nakhon Sawan,15-24,0,0,0,1,0,0,0,366,71.4,29.1,10.4,43.7,1538.8,130,3
168,2016,Kamphaeng Phet,60,0,0,0,0,0,0,1,12,70.2,28.5,10.5,44.0,1168.9,125,1
169,2016,Kamphaeng Phet,0-4,1,0,0,0,0,0,0,20,70.2,28.5,10.5,44.0,1168.9,125,1
170,2016,Mukdahan,60,0,0,0,0,0,0,1,30,70.5,27.6,10.5,42.3,1307.7,115,1
171,2016,Mukdahan,60,0,0,0,0,0,0,1,30,70.5,27.6,10.5,42.3,1307.7,115,1
172,2016,Kamphaeng Phet,35-59,0,0,0,0,0,1,0,44,70.2,28.5,10.5,44.0,1168.9,125,1
173,2016,Mukdahan,0-4,1,0,0,0,0,0,0,48,70.5,27.6,10.5,42.3,1307.7,115,1
174,2016,Mukdahan,0-4,1,0,0,0,0,0,0,48,70.5,27.6,10.5,42.3,1307.7,115,1
175,2016,Kamphaeng Phet,25-34,0,0,0,0,1,0,0,50,70.2,28.5,10.5,44.0,1168.9,125,1
176,2016,Kamphaeng Phet,9-May,0,1,0,0,0,0,0,62,70.2,28.5,10.5,44.0,1168.9,125,1
177,2016,Kamphaeng Phet,14-Oct,0,0,1,0,0,0,0,64,70.2,28.5,10.5,44.0,1168.9,125,1
178,2016,Kamphaeng Phet,15-24,0,0,0,1,0,0,0,100,70.2,28.5,10.5,44.0,1168.9,125,1
179,2016,Mukdahan,9-May,0,1,0,0,0,0,0,124,70.5,27.6,10.5,42.3,1307.7,115,1
180,2016,Mukdahan,9-May,0,1,0,0,0,0,0,124,70.5,27.6,10.5,42.3,1307.7,115,1
181,2016,Mukdahan,35-59,0,0,0,0,0,1,0,136,70.5,27.6,10.5,42.3,1307.7,115,1
182,2016,Mukdahan,35-59,0,0,0,0,0,1,0,136,70.5,27.6,10.5,42.3,1307.7,115,1
183,2016,Mukdahan,25-34,0,0,0,0,1,0,0,138,70.5,27.6,10.5,42.3,1307.7,115,1
184,2016,Mukdahan,25-34,0,0,0,0,1,0,0,138,70.5,27.6,10.5,42.3,1307.7,115,1
185,2016,Mukdahan,14-Oct,0,0,1,0,0,0,0,164,70.5,27.6,10.5,42.3,1307.7,115,1
186,2016,Mukdahan,14-Oct,0,0,1,0,0,0,0,164,70.5,27.6,10.5,42.3,1307.7,115,1
187,2016,Mukdahan,15-24,0,0,0,1,0,0,0,246,70.5,27.6,10.5,42.3,1307.7,115,1
188,2016,Mukdahan,15-24,0,0,0,1,0,0,0,246,70.5,27.6,10.5,42.3,1307.7,115,1
189,2016,Phichit,60,0,0,0,0,0,0,1,26,73.3,28.7,10.7,42.3,1170.0,130,1
190,2016,Phichit,0-4,1,0,0,0,0,0,0,46,73.3,28.7,10.7,42.3,1170.0,130,1
191,2016,Phichit,9-May,0,1,0,0,0,0,0,86,73.3,28.7,10.7,42.3,1170.0,130,1
192,2016,Phichit,25-34,0,0,0,0,1,0,0,94,73.3,28.7,10.7,42.3,1170.0,130,1
193,2016,Phichit,35-59,0,0,0,0,0,1,0,104,73.3,28.7,10.7,42.3,1170.0,130,1
194,2016,Phichit,14-Oct,0,0,1,0,0,0,0,152,73.3,28.7,10.7,42.3,1170.0,130,1
195,2016,Phichit,15-24,0,0,0,1,0,0,0,152,73.3,28.7,10.7,42.3,1170.0,130,1
196,2016,Roi Et,60,0,0,0,0,0,0,1,36,70.9,28.1,11.0,42.3,1440.8,130,3
197,2016,Nakhon Pathom,60,0,0,0,0,0,0,1,94,76.1,28.5,11.0,41.4,789.7,99,1
198,2016,Nakhon Pathom,0-4,1,0,0,0,0,0,0,106,76.1,28.5,11.0,41.4,789.7,99,1
199,2016,Roi Et,0-4,1,0,0,0,0,0,0,142,70.9,28.1,11.0,42.3,1440.8,130,3
200,2016,Nakhon Pathom,9-May,0,1,0,0,0,0,0,148,76.1,28.5,11.0,41.4,789.7,99,1
201,2016,Nakhon Pathom,14-Oct,0,0,1,0,0,0,0,188,76.1,28.5,11.0,41.4,789.7,99,1
202,2016,Roi Et,25-34,0,0,0,0,1,0,0,200,70.9,28.1,11.0,42.3,1440.8,130,3
203,2016,Roi Et,35-59,0,0,0,0,0,1,0,206,70.9,28.1,11.0,42.3,1440.8,130,3
204,2016,Nakhon Pathom,25-34,0,0,0,0,1,0,0,240,76.1,28.5,11.0,41.4,789.7,99,1
205,2016,Nakhon Pathom,35-59,0,0,0,0,0,1,0,314,76.1,28.5,11.0,41.4,789.7,99,1
206,2016,Nakhon Pathom,15-24,0,0,0,1,0,0,0,418,76.1,28.5,11.0,41.4,789.7,99,1
207,2016,Roi Et,9-May,0,1,0,0,0,0,0,546,70.9,28.1,11.0,42.3,1440.8,130,3
208,2016,Roi Et,15-24,0,0,0,1,0,0,0,612,70.9,28.1,11.0,42.3,1440.8,130,3
209,2016,Roi Et,14-Oct,0,0,1,0,0,0,0,624,70.9,28.1,11.0,42.3,1440.8,130,3
210,2016,Sukhothai,60,0,0,0,0,0,0,1,2,74.7,28.5,11.1,44.5,1272.0,104,1
211,2016,Sukhothai,0-4,1,0,0,0,0,0,0,40,74.7,28.5,11.1,44.5,1272.0,104,1
212,2016,Sukhothai,35-59,0,0,0,0,0,1,0,60,74.7,28.5,11.1,44.5,1272.0,104,1
213,2016,Sukhothai,25-34,0,0,0,0,1,0,0,68,74.7,28.5,11.1,44.5,1272.0,104,1
214,2016,Sukhothai,9-May,0,1,0,0,0,0,0,136,74.7,28.5,11.1,44.5,1272.0,104,1
215,2016,Sukhothai,14-Oct,0,0,1,0,0,0,0,146,74.7,28.5,11.1,44.5,1272.0,104,1
216,2016,Sukhothai,15-24,0,0,0,1,0,0,0,172,74.7,28.5,11.1,44.5,1272.0,104,1
217,2016,Chaiyaphum,60,0,0,0,0,0,0,1,34,70.0,28.2,11.4,42.6,1234.8,100,1
218,2016,Chaiyaphum,25-34,0,0,0,0,1,0,0,82,70.0,28.2,11.4,42.6,1234.8,100,1
219,2016,Si Sa Ket,60,0,0,0,0,0,0,1,86,72.7,27.9,11.4,42.3,1310.6,113,1
220,2016,Chaiyaphum,0-4,1,0,0,0,0,0,0,106,70.0,28.2,11.4,42.6,1234.8,100,1
221,2016,Chaiyaphum,35-59,0,0,0,0,0,1,0,106,70.0,28.2,11.4,42.6,1234.8,100,1
222,2016,Si Sa Ket,0-4,1,0,0,0,0,0,0,156,72.7,27.9,11.4,42.3,1310.6,113,1
223,2016,Chaiyaphum,15-24,0,0,0,1,0,0,0,244,70.0,28.2,11.4,42.6,1234.8,100,1
224,2016,Si Sa Ket,25-34,0,0,0,0,1,0,0,248,72.7,27.9,11.4,42.3,1310.6,113,1
225,2016,Chaiyaphum,14-Oct,0,0,1,0,0,0,0,314,70.0,28.2,11.4,42.6,1234.8,100,1
226,2016,Si Sa Ket,35-59,0,0,0,0,0,1,0,328,72.7,27.9,11.4,42.3,1310.6,113,1
