year,province,province_num,day_raindrop,quant_rain,humbidity_perc,temp_max,temp_min,temp_avg,dead,dead_perc,patient
2560,ลำปาง,53,127,1511.6,75.1,41.3,8,26.9,0,0,213
2560,ลำพูน,54,126,1489.5,74.7,40.4,8.2,26.8,1,0.37,271
2560,เลย,55,124,1522,75.4,39.9,7,26.2,0,0,454
2560,ศรีสะเกษ,56,129,1663.4,75,39.8,12.5,27.5,0,0,639
2560,สกลนคร,57,139,2422.9,75.4,38.5,8.5,26.3,1,0.12,805
2560,สงขลา,58,193,3424.7,79.9,36,22.6,27.9,16,0.22,7314
2560,สตูล,59,201,3039,80.7,35.8,20,27.7,1,0.07,1404
2560,สมุทรปราการ,60,97,1650.9,75.4,36,16.6,28.8,3,0.33,914
2560,สมุทรสงคราม,61,97,1650.9,75.4,36,16.6,28.8,0,0,110
2560,สมุทรสาคร,62,97,1650.9,75.4,36,16.6,28.8,1,0.19,532
2560,สระแก้ว,63,153,1474.4,80.6,38.9,12.9,27.7,0,0,543
2560,สระบุรี,64,113,1282.4,71.4,40.5,15.1,28.7,1,0.32,315
2560,สิงห์บุรี,65,113,1282.4,71.4,40.5,15.1,28.7,0,0,128
2560,สุโขทัย,66,121,1694.3,78.1,41.2,11.2,28.2,0,0,300
2560,สุพรรณบุรี,67,111,1357.9,75.5,40.3,14.4,28.7,1,0.13,761
2560,สุราษฎร์ธานี,68,185,1631.8,84.8,37.5,18.5,27.1,3,0.14,2190
2560,สุรินทร์,69,129,1512,73.4,39.1,11.5,27.5,0,0,1728
2560,หนองคาย,70,131,2087.3,73.5,40,10,27.1,0,0,359
2560,หนองบัวลำภู,71,132,1794.9,76,39.7,12.2,27.7,0,0,231
2560,อ่างทอง,72,113,1282.4,71.4,40.5,15.1,28.7,0,0,326
2560,อำนาจเจริญ,73,141,1608.2,71.4,39.7,9.3,24.5,0,0,204
2560,อุดรธานี,74,126,1860.2,73.6,39.9,8.3,27,1,0.1,998
2560,อุตรดิตถ์,75,118,1552.1,72.9,40,12,28,0,0,329
2560,อุทัยธานี,76,130,1760.5,75.3,41.2,11.5,28.5,1,0.88,114
2560,อุบลราชธานี,77,141,1794.9,71.4,39.7,12.2,27.7,0,0,1349
2561,กระบี่,2,172,2203.4,82.9,38.7,17.8,27,1,0.04,2756
2561,กรุงเทพฯ,1,131,1768.2,75.7,37.3,19.6,28.8,19,0.3,6311
2561,กาญจนบุรี,3,121,769.2,71.9,41.3,16.5,28.6,3,0.2,1530
2561,กาฬสินธุ์,4,108,1108.6,78,38.9,11.3,26.7,1,0.13,799
2561,กำแพงเพชร,5,136,1129.6,73.9,39.4,15.2,27.9,0,0,1271
2561,ขอนแก่น,6,112,1304.8,71.7,39.3,11.7,27,0,0,1758
2561,จันทบุรี,7,171,2341.3,78.6,36.2,18.2,28,0,0,264
2561,ฉะเชิงเทรา,8,156,1884.7,81.6,36.5,15,26.8,1,0.06,1586
2561,ชลบุรี,9,119,1332.8,76,37.5,18.5,28.9,4,0.2,2045
2561,ชัยนาท,10,102,791.7,76.8,39,15.8,28,0,0,169
2561,ชัยภูมิ,11,113,911.6,69.5,40.6,12.6,27.6,0,0,703
2561,ชุมพร,12,175,2027,82.1,35.5,19.5,27.3,1,0.12,816
2561,เชียงราย,13,162,1928.5,78,36.5,11.3,25.1,1,0.14,725
2561,เชียงใหม่,14,129,972.4,70.5,39.8,12.5,26.9,0,0,1081
2561,ตรัง,15,171,2143.2,81,36.9,19.4,27.6,1,0.03,3438
2561,ตราด,16,208,4800.4,82.8,35.2,17.8,27.6,0,0,232
2561,ตาก,17,110,926.7,73.5,41,13.9,27.7,1,0.08,1178
2561,นครนายก,18,126,1475.4,75.5,39.5,18,28.9,1,0.12,868
2561,นครปฐม,19,117,1043,80.1,38.9,15.6,27.8,1,0.05,1950
2561,นครพนม,20,131,2666.9,71.7,38.9,10.9,26.6,2,0.42,477
2561,นครราชสีมา,21,115,962.3,75.7,39.4,13.5,27.8,3,0.11,2741
2561,นครศรีธรรมราช,22,160,2218.8,83.3,37,20,27.4,1,0.02,4927
2561,นครสวรรค์,23,111,883.8,74.5,40.3,15.9,28.6,5,0.27,1836
2561,นนทบุรี,24,131,1768.2,75.7,37.3,19.6,28.8,5,0.28,1810
2561,นราธิวาส,25,141,2784.4,81.4,36.8,17.7,27.3,0,0,1287
2561,น่าน,26,110,1064.8,77.7,39.2,13,26.6,0,0,382
2561,บึงกาฬ,27,131,2666.9,71.7,38.9,10.9,26.6,0,0,436
2561,บุรีรัมย์,28,94,831.6,77.7,39.3,11.3,26.7,1,0.04,2267
2561,ปทุมธานี,29,126,1475.4,75.5,39.5,18,28.9,3,0.18,1631
2561,ประจวบคีรีขันธ์,30,126,1422.4,78.8,37,18.3,27.6,0,0,642
2561,ปราจีนบุรี,31,142,1970.2,74.9,37.9,17.8,28.8,0,0,350
2561,ปัตตานี,32,131,1993.4,81.9,36.2,18.8,27.5,1,0.12,807
2561,พระนครศรีอยุธยา,33,107,1023.7,76.8,37.6,15.4,28.3,5,0.31,1606
2561,พะเยา,34,127,1448.7,81.3,37,12.2,25.4,0,0,122
2561,พังงา,35,172,2203.4,82.9,38.7,17.8,27,0,0,1804
2561,พัทลุง,36,155,1840.6,83.2,36.5,20.9,27.5,0,0,965
2561,พิจิตร,37,121,1054.4,77,38.5,17,28.1,0,0,1155
2561,พิษณุโลก,38,121,1140.2,75.3,39.3,16.6,28,2,0.14,1432
2561,เพชรบุรี,39,111,1033.9,78.9,37.4,18.5,28.5,0,0,916
2561,เพชรบูรณ์,40,119,998.2,74.2,40.6,14.8,27.6,0,0,1495
2561,แพร่,41,125,1023.5,77.1,39.7,13.9,27,1,0.24,423
2561,ภูเก็ต,42,168,2069.3,76.5,37.4,22.1,28.8,4,0.18,2225
2561,มหาสารคาม,43,102,1225.1,73.3,40.3,11.6,27.5,0,0,1058
2561,มุกดาหาร,44,116,1929,73.3,39.6,11.5,26.8,0,0,169
2561,แม่ฮ่องสอน,45,149,1169.1,77,40.9,8.4,25.9,0,0,420
2561,ยโสธร,46,113,1224.6,72.7,40,11.6,27.4,0,0,483
2561,ยะลา,47,149,2240.3,81.9,37.5,17.4,27.1,0,0,623
2561,ร้อยเอ็ด,48,113,1224.6,72.7,40,11.6,27.4,0,0,1145
