year,Province,AgeGroup,ag_0-4,ag_5-9,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_60,patient_count
2016,Nakhon Nayok,60,0,0,0,0,0,0,1,6
2016,Nakhon Pathom,0-4,1,0,0,0,0,0,0,106
2016,Nakhon Pathom,10-14,0,0,1,0,0,0,0,188
2016,Nakhon Pathom,15-24,0,0,0,1,0,0,0,418
2016,Nakhon Pathom,25-34,0,0,0,0,1,0,0,240
2016,Nakhon Pathom,35-59,0,0,0,0,0,1,0,314
2016,Nakhon Pathom,5-9,0,1,0,0,0,0,0,148
2016,Nakhon Pathom,60,0,0,0,0,0,0,1,94
2016,Nakhon Phanom,0-4,1,0,0,0,0,0,0,58
2016,Nakhon Phanom,10-14,0,0,1,0,0,0,0,226
2016,Nakhon Phanom,15-24,0,0,0,1,0,0,0,236
2016,Nakhon Phanom,25-34,0,0,0,0,1,0,0,82
2016,Nakhon Phanom,35-59,0,0,0,0,0,1,0,74
2016,Nakhon Phanom,5-9,0,1,0,0,0,0,0,130
2016,Nakhon Phanom,60,0,0,0,0,0,0,1,8
2016,Nakhon Ratchasima,0-4,1,0,0,0,0,0,0,418
2016,Nakhon Ratchasima,10-14,0,0,1,0,0,0,0,608
2016,Nakhon Ratchasima,15-24,0,0,0,1,0,0,0,788
2016,Nakhon Ratchasima,25-34,0,0,0,0,1,0,0,466
2016,Nakhon Ratchasima,35-59,0,0,0,0,0,1,0,360
2016,Nakhon Ratchasima,5-9,0,1,0,0,0,0,0,536
2016,Nakhon Ratchasima,60,0,0,0,0,0,0,1,86
2016,Nakhon Sawan,0-4,1,0,0,0,0,0,0,94
2016,Nakhon Sawan,10-14,0,0,1,0,0,0,0,192
2016,Nakhon Sawan,15-24,0,0,0,1,0,0,0,366
2016,Nakhon Sawan,25-34,0,0,0,0,1,0,0,172
2016,Nakhon Sawan,35-59,0,0,0,0,0,1,0,180
2016,Nakhon Sawan,5-9,0,1,0,0,0,0,0,188
2016,Nakhon Sawan,60,0,0,0,0,0,0,1,44
2016,Nakhon Si Thammarat,0-4,1,0,0,0,0,0,0,406
2016,Nakhon Si Thammarat,10-14,0,0,1,0,0,0,0,774
2016,Nakhon Si Thammarat,15-24,0,0,0,1,0,0,0,1166
2016,Nakhon Si Thammarat,25-34,0,0,0,0,1,0,0,650
2016,Nakhon Si Thammarat,35-59,0,0,0,0,0,1,0,618
2016,Nakhon Si Thammarat,5-9,0,1,0,0,0,0,0,748
2016,Nakhon Si Thammarat,60,0,0,0,0,0,0,1,204
2016,Nan,0-4,1,0,0,0,0,0,0,14
2016,Nan,10-14,0,0,1,0,0,0,0,50
2016,Nan,15-24,0,0,0,1,0,0,0,94
2016,Nan,25-34,0,0,0,0,1,0,0,68
2016,Nan,35-59,0,0,0,0,0,1,0,128
2016,Nan,5-9,0,1,0,0,0,0,0,32
2016,Nan,60,0,0,0,0,0,0,1,38
2016,Narathiwat,0-4,1,0,0,0,0,0,0,202
2016,Narathiwat,10-14,0,0,1,0,0,0,0,540
2016,Narathiwat,15-24,0,0,0,1,0,0,0,878
2016,Narathiwat,25-34,0,0,0,0,1,0,0,652
2016,Narathiwat,35-59,0,0,0,0,0,1,0,676
2016,Narathiwat,5-9,0,1,0,0,0,0,0,468
2016,Narathiwat,60,0,0,0,0,0,0,1,96
2016,Nong Bua Lam Phu,0-4,1,0,0,0,0,0,0,28
2016,Nong Bua Lam Phu,10-14,0,0,1,0,0,0,0,114
2016,Nong Bua Lam Phu,15-24,0,0,0,1,0,0,0,106
2016,Nong Bua Lam Phu,25-34,0,0,0,0,1,0,0,32
2016,Nong Bua Lam Phu,35-59,0,0,0,0,0,1,0,46
2016,Nong Bua Lam Phu,5-9,0,1,0,0,0,0,0,106
2016,Nong Bua Lam Phu,60,0,0,0,0,0,0,1,10
2016,Nong Khai,0-4,1,0,0,0,0,0,0,26
2016,Nong Khai,10-14,0,0,1,0,0,0,0,80
2016,Nong Khai,15-24,0,0,0,1,0,0,0,94
2016,Nong Khai,25-34,0,0,0,0,1,0,0,20
2016,Nong Khai,35-59,0,0,0,0,0,1,0,48
2016,Nong Khai,5-9,0,1,0,0,0,0,0,82
2016,Nong Khai,60,0,0,0,0,0,0,1,4
2016,Nonthaburi,0-4,1,0,0,0,0,0,0,108
2016,Nonthaburi,10-14,0,0,1,0,0,0,0,128
2016,Nonthaburi,15-24,0,0,0,1,0,0,0,334
2016,Nonthaburi,25-34,0,0,0,0,1,0,0,172
2016,Nonthaburi,35-59,0,0,0,0,0,1,0,272
2016,Nonthaburi,5-9,0,1,0,0,0,0,0,106
2016,Nonthaburi,60,0,0,0,0,0,0,1,82
2016,Pathum Thani,0-4,1,0,0,0,0,0,0,30
2016,Pathum Thani,10-14,0,0,1,0,0,0,0,112
2016,Pathum Thani,15-24,0,0,0,1,0,0,0,208
2016,Pathum Thani,25-34,0,0,0,0,1,0,0,152
2016,Pathum Thani,35-59,0,0,0,0,0,1,0,168
2016,Pathum Thani,5-9,0,1,0,0,0,0,0,106
2016,Pathum Thani,60,0,0,0,0,0,0,1,30
2016,Pattani,0-4,1,0,0,0,0,0,0,602
2016,Pattani,10-14,0,0,1,0,0,0,0,996
2016,Pattani,15-24,0,0,0,1,0,0,0,1128
2016,Pattani,25-34,0,0,0,0,1,0,0,450
2016,Pattani,35-59,0,0,0,0,0,1,0,376
2016,Pattani,5-9,0,1,0,0,0,0,0,982
2016,Pattani,60,0,0,0,0,0,0,1,106
2016,Phang-nga,0-4,1,0,0,0,0,0,0,84
2016,Phang-nga,10-14,0,0,1,0,0,0,0,140
2016,Phang-nga,15-24,0,0,0,1,0,0,0,114
2016,Phang-nga,25-34,0,0,0,0,1,0,0,128
2016,Phang-nga,35-59,0,0,0,0,0,1,0,114
2016,Phang-nga,5-9,0,1,0,0,0,0,0,122
2016,Phang-nga,60,0,0,0,0,0,0,1,24
2016,Phatthalung,0-4,1,0,0,0,0,0,0,180
2016,Phatthalung,10-14,0,0,1,0,0,0,0,612
2016,Phatthalung,15-24,0,0,0,1,0,0,0,834
2016,Phatthalung,25-34,0,0,0,0,1,0,0,404
2016,Phatthalung,35-59,0,0,0,0,0,1,0,418
2016,Phatthalung,5-9,0,1,0,0,0,0,0,400
2016,Phatthalung,60,0,0,0,0,0,0,1,94
2016,Phayao,0-4,1,0,0,0,0,0,0,12
2016,Phayao,10-14,0,0,1,0,0,0,0,46
2016,Phayao,15-24,0,0,0,1,0,0,0,92
2016,Phayao,25-34,0,0,0,0,1,0,0,60
2016,Phayao,35-59,0,0,0,0,0,1,0,142
2016,Phayao,5-9,0,1,0,0,0,0,0,24
2016,Phayao,60,0,0,0,0,0,0,1,28
2016,Phetchabun,0-4,1,0,0,0,0,0,0,108
2016,Phetchabun,10-14,0,0,1,0,0,0,0,316
2016,Phetchabun,15-24,0,0,0,1,0,0,0,436
2016,Phetchabun,25-34,0,0,0,0,1,0,0,292
2016,Phetchabun,35-59,0,0,0,0,0,1,0,304
2016,Phetchabun,5-9,0,1,0,0,0,0,0,264
2016,Phetchabun,60,0,0,0,0,0,0,1,72
2016,Phetchaburi,0-4,1,0,0,0,0,0,0,94
2016,Phetchaburi,10-14,0,0,1,0,0,0,0,152
2016,Phetchaburi,15-24,0,0,0,1,0,0,0,266
2016,Phetchaburi,25-34,0,0,0,0,1,0,0,126
2016,Phetchaburi,35-59,0,0,0,0,0,1,0,134
2016,Phetchaburi,5-9,0,1,0,0,0,0,0,176
2016,Phetchaburi,60,0,0,0,0,0,0,1,40
2016,Phichit,0-4,1,0,0,0,0,0,0,46
2016,Phichit,10-14,0,0,1,0,0,0,0,152
2016,Phichit,15-24,0,0,0,1,0,0,0,152
2016,Phichit,25-34,0,0,0,0,1,0,0,94
2016,Phichit,35-59,0,0,0,0,0,1,0,104
2016,Phichit,5-9,0,1,0,0,0,0,0,86
2016,Phichit,60,0,0,0,0,0,0,1,26
2016,Phitsanulok,0-4,1,0,0,0,0,0,0,44
2016,Phitsanulok,10-14,0,0,1,0,0,0,0,204
2016,Phitsanulok,15-24,0,0,0,1,0,0,0,306
2016,Phitsanulok,25-34,0,0,0,0,1,0,0,174
2016,Phitsanulok,35-59,0,0,0,0,0,1,0,224
2016,Phitsanulok,5-9,0,1,0,0,0,0,0,152
2016,Phitsanulok,60,0,0,0,0,0,0,1,42
2016,Phra Nakhon Si Ayutthaya,0-4,1,0,0,0,0,0,0,62
2016,Phra Nakhon Si Ayutthaya,10-14,0,0,1,0,0,0,0,146
2016,Phra Nakhon Si Ayutthaya,15-24,0,0,0,1,0,0,0,246
2016,Phra Nakhon Si Ayutthaya,25-34,0,0,0,0,1,0,0,226
2016,Phra Nakhon Si Ayutthaya,35-59,0,0,0,0,0,1,0,206
2016,Phra Nakhon Si Ayutthaya,5-9,0,1,0,0,0,0,0,128
2016,Phra Nakhon Si Ayutthaya,60,0,0,0,0,0,0,1,56
2016,Phrae,0-4,1,0,0,0,0,0,0,10
2016,Phrae,10-14,0,0,1,0,0,0,0,32
2016,Phrae,15-24,0,0,0,1,0,0,0,72
2016,Phrae,25-34,0,0,0,0,1,0,0,32
2016,Phrae,35-59,0,0,0,0,0,1,0,48
2016,Phrae,5-9,0,1,0,0,0,0,0,26
2016,Phrae,60,0,0,0,0,0,0,1,14
2016,Phuket,0-4,1,0,0,0,0,0,0,52
2016,Phuket,10-14,0,0,1,0,0,0,0,120
2016,Phuket,15-24,0,0,0,1,0,0,0,254
2016,Phuket,25-34,0,0,0,0,1,0,0,264
2016,Phuket,35-59,0,0,0,0,0,1,0,200
2016,Phuket,5-9,0,1,0,0,0,0,0,94
2016,Phuket,60,0,0,0,0,0,0,1,16
2016,Prachin Buri,0-4,1,0,0,0,0,0,0,36
2016,Prachin Buri,10-14,0,0,1,0,0,0,0,90
2016,Prachin Buri,15-24,0,0,0,1,0,0,0,148
2016,Prachin Buri,25-34,0,0,0,0,1,0,0,108
2016,Prachin Buri,35-59,0,0,0,0,0,1,0,76
2016,Prachin Buri,5-9,0,1,0,0,0,0,0,98
2016,Prachin Buri,60,0,0,0,0,0,0,1,22
2016,Prachuap Khiri Khan,0-4,1,0,0,0,0,0,0,44
2016,Prachuap Khiri Khan,10-14,0,0,1,0,0,0,0,132
2016,Prachuap Khiri Khan,15-24,0,0,0,1,0,0,0,162
2016,Prachuap Khiri Khan,25-34,0,0,0,0,1,0,0,70
2016,Prachuap Khiri Khan,35-59,0,0,0,0,0,1,0,80
2016,Prachuap Khiri Khan,5-9,0,1,0,0,0,0,0,138
2016,Prachuap Khiri Khan,60,0,0,0,0,0,0,1,12
2016,Ranong,0-4,1,0,0,0,0,0,0,22
2016,Ranong,10-14,0,0,1,0,0,0,0,22
2016,Ranong,15-24,0,0,0,1,0,0,0,62
2016,Ranong,25-34,0,0,0,0,1,0,0,46
2016,Ranong,35-59,0,0,0,0,0,1,0,48
2016,Ranong,5-9,0,1,0,0,0,0,0,46
2016,Ranong,60,0,0,0,0,0,0,1,12
2016,Ratchaburi,0-4,1,0,0,0,0,0,0,52
2016,Ratchaburi,10-14,0,0,1,0,0,0,0,142
2016,Ratchaburi,15-24,0,0,0,1,0,0,0,176
2016,Ratchaburi,25-34,0,0,0,0,1,0,0,102
2016,Ratchaburi,35-59,0,0,0,0,0,1,0,130
2016,Ratchaburi,5-9,0,1,0,0,0,0,0,142
2016,Ratchaburi,60,0,0,0,0,0,0,1,38
2016,Rayong,0-4,1,0,0,0,0,0,0,72
2016,Rayong,10-14,0,0,1,0,0,0,0,238
2016,Rayong,15-24,0,0,0,1,0,0,0,454
2016,Rayong,25-34,0,0,0,0,1,0,0,440
2016,Rayong,35-59,0,0,0,0,0,1,0,406
2016,Rayong,5-9,0,1,0,0,0,0,0,168
2016,Rayong,60,0,0,0,0,0,0,1,42
2016,Roi Et,0-4,1,0,0,0,0,0,0,142
2016,Roi Et,10-14,0,0,1,0,0,0,0,624
2016,Roi Et,15-24,0,0,0,1,0,0,0,612
2016,Roi Et,25-34,0,0,0,0,1,0,0,200
2016,Roi Et,35-59,0,0,0,0,0,1,0,206
2016,Roi Et,5-9,0,1,0,0,0,0,0,546
2016,Roi Et,60,0,0,0,0,0,0,1,36
2016,Sa kaeo,0-4,1,0,0,0,0,0,0,56
2016,Sa kaeo,10-14,0,0,1,0,0,0,0,112
2016,Sa kaeo,15-24,0,0,0,1,0,0,0,82
2016,Sa kaeo,25-34,0,0,0,0,1,0,0,50
2016,Sa kaeo,35-59,0,0,0,0,0,1,0,50
2016,Sa kaeo,5-9,0,1,0,0,0,0,0,98
2016,Sa kaeo,60,0,0,0,0,0,0,1,14
2016,Sakon Nakhon,0-4,1,0,0,0,0,0,0,42
2016,Sakon Nakhon,10-14,0,0,1,0,0,0,0,140
2016,Sakon Nakhon,15-24,0,0,0,1,0,0,0,210
2016,Sakon Nakhon,25-34,0,0,0,0,1,0,0,132
2016,Sakon Nakhon,35-59,0,0,0,0,0,1,0,102
2016,Sakon Nakhon,5-9,0,1,0,0,0,0,0,88
2016,Sakon Nakhon,60,0,0,0,0,0,0,1,12
2016,Samut Prakan,0-4,1,0,0,0,0,0,0,124
2016,Samut Prakan,10-14,0,0,1,0,0,0,0,348
2016,Samut Prakan,15-24,0,0,0,1,0,0,0,632
2016,Samut Prakan,25-34,0,0,0,0,1,0,0,224
2016,Samut Prakan,35-59,0,0,0,0,0,1,0,278
2016,Samut Prakan,5-9,0,1,0,0,0,0,0,208
2016,Samut Prakan,60,0,0,0,0,0,0,1,84
2016,Samut Sakhon,0-4,1,0,0,0,0,0,0,126
2016,Samut Sakhon,10-14,0,0,1,0,0,0,0,114
2016,Samut Sakhon,15-24,0,0,0,1,0,0,0,156
2016,Samut Sakhon,25-34,0,0,0,0,1,0,0,108
2016,Samut Sakhon,35-59,0,0,0,0,0,1,0,144
2016,Samut Sakhon,5-9,0,1,0,0,0,0,0,156
2016,Samut Sakhon,60,0,0,0,0,0,0,1,40
2016,Samut Songkhram,0-4,1,0,0,0,0,0,0,2
2016,Samut Songkhram,10-14,0,0,1,0,0,0,0,16
2016,Samut Songkhram,15-24,0,0,0,1,0,0,0,30
2016,Samut Songkhram,25-34,0,0,0,0,1,0,0,36
2016,Samut Songkhram,35-59,0,0,0,0,0,1,0,42
2016,Samut Songkhram,5-9,0,1,0,0,0,0,0,8
2016,Samut Songkhram,60,0,0,0,0,0,0,1,4
2016,Saraburi,0-4,1,0,0,0,0,0,0,28
2016,Saraburi,10-14,0,0,1,0,0,0,0,66
2016,Saraburi,15-24,0,0,0,1,0,0,0,120
2016,Saraburi,25-34,0,0,0,0,1,0,0,94
2016,Saraburi,35-59,0,0,0,0,0,1,0,96
2016,Saraburi,5-9,0,1,0,0,0,0,0,76
2016,Saraburi,60,0,0,0,0,0,0,1,14
2016,Satun,0-4,1,0,0,0,0,0,0,72
2016,Satun,10-14,0,0,1,0,0,0,0,166
2016,Satun,15-24,0,0,0,1,0,0,0,150
2016,Satun,25-34,0,0,0,0,1,0,0,74
2016,Satun,35-59,0,0,0,0,0,1,0,56
2016,Satun,5-9,0,1,0,0,0,0,0,172
2016,Satun,60,0,0,0,0,0,0,1,6
2016,Si Sa Ket,0-4,1,0,0,0,0,0,0,156
2016,Si Sa Ket,10-14,0,0,1,0,0,0,0,546
2016,Si Sa Ket,15-24,0,0,0,1,0,0,0,602
2016,Si Sa Ket,25-34,0,0,0,0,1,0,0,248
2016,Si Sa Ket,35-59,0,0,0,0,0,1,0,328
2016,Si Sa Ket,5-9,0,1,0,0,0,0,0,514
2016,Si Sa Ket,60,0,0,0,0,0,0,1,86
2016,Sing Buri,0-4,1,0,0,0,0,0,0,0
2016,Sing Buri,10-14,0,0,1,0,0,0,0,0
2016,Sing Buri,15-24,0,0,0,1,0,0,0,4
2016,Sing Buri,25-34,0,0,0,0,1,0,0,4
2016,Sing Buri,35-59,0,0,0,0,0,1,0,2
2016,Sing Buri,5-9,0,1,0,0,0,0,0,0
2016,Sing Buri,60,0,0,0,0,0,0,1,2
2016,Songkhla,0-4,1,0,0,0,0,0,0,942
2016,Songkhla,10-14,0,0,1,0,0,0,0,2240
2016,Songkhla,15-24,0,0,0,1,0,0,0,2982
2016,Songkhla,25-34,0,0,0,0,1,0,0,1452
2016,Songkhla,35-59,0,0,0,0,0,1,0,1234
2016,Songkhla,5-9,0,1,0,0,0,0,0,1968
2016,Songkhla,60,0,0,0,0,0,0,1,182
2016,Sukhothai,0-4,1,0,0,0,0,0,0,40
2016,Sukhothai,10-14,0,0,1,0,0,0,0,146
2016,Sukhothai,15-24,0,0,0,1,0,0,0,172
2016,Sukhothai,25-34,0,0,0,0,1,0,0,68
